system_id,institution_id,institution_size,student_population,system_type,system_age,lines_of_code,cyclomatic_complexity,function_points,external_dependencies,api_connections,database_links,response_time_ms,throughput_rps,resource_utilization,data_volume_gb,peak_load_users,annual_maintenance_cost,critical_level,compliance_requirements,documentation
SYS_0023,INST_37,Large,43184,Learning Management,15,607537,21,533,40,9,11,142,460,0.5,4727,9087,94256,High,GDPR,"
System ID: SYS_0023
Type: Learning Management System (LMS)
Institution: INST_37
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 15 years
- Code Base: 607537 lines of code
- Complexity Score: 21
Performance Metrics:
- Average Response Time: 142ms
- Peak Load: 9087 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- Memory leaks under heavy load"
SYS_0024,INST_5,Small,1361,Finance,12,683976,82,500,22,8,18,659,115,0.46,584,9359,72956,Medium,Both,
SYS_0025,INST_30,Medium,5647,Finance,4,179737,78,601,50,21,13,861,228,0.62,817,3379,77226,Medium,FERPA,
SYS_0026,INST_35,Small,3822,Student Information,8,239265,47,364,41,17,3,148,375,0.44,7558,9887,74218,Medium,None,"
System ID: SYS_0026
Type: Student Information System (SIS)
Institution: INST_35
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 8 years
- Code Base: 239265 lines of code
- Complexity Score: 47
Performance Metrics:
- Average Response Time: 148ms
- Peak Load: 9887 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- Data synchronization delays"
SYS_0027,INST_36,Medium,7405,Learning Management,11,673186,36,446,30,24,20,754,144,0.48,4830,6811,87924,Medium,None,"
System ID: SYS_0027
Type: Learning Management System (LMS)
Institution: INST_36
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 11 years
- Code Base: 673186 lines of code
- Complexity Score: 36
Performance Metrics:
- Average Response Time: 754ms
- Peak Load: 6811 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- High response time during peak periods
- Data synchronization delays"
SYS_0028,INST_12,Medium,13325,Student Information,4,268279,44,473,31,22,9,641,229,0.56,3284,7458,29059,High,FERPA,"
System ID: SYS_0028
Type: Student Information System (SIS)
Institution: INST_12
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 4 years
- Code Base: 268279 lines of code
- Complexity Score: 44
Performance Metrics:
- Average Response Time: 641ms
- Peak Load: 7458 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- High response time during peak periods"
SYS_0029,INST_46,Small,1242,Learning Management,11,520057,77,213,36,11,9,375,90,0.8,3348,4214,51273,Low,None,"
System ID: SYS_0029
Type: Learning Management System (LMS)
Institution: INST_46
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 11 years
- Code Base: 520057 lines of code
- Complexity Score: 77
Performance Metrics:
- Average Response Time: 375ms
- Peak Load: 4214 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- Data synchronization delays"
SYS_0030,INST_8,Medium,14576,Student Information,3,355800,38,256,13,19,8,332,308,0.4,2821,5536,33896,Medium,GDPR,"
System ID: SYS_0030
Type: Student Information System (SIS)
Institution: INST_8
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 3 years
- Code Base: 355800 lines of code
- Complexity Score: 38
Performance Metrics:
- Average Response Time: 332ms
- Peak Load: 5536 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- Limited scalability"
SYS_0031,INST_3,Large,34820,HR,3,463233,68,261,8,24,12,340,391,0.5,133,9518,45310,High,GDPR,
SYS_0032,INST_28,Large,44167,Student Information,3,487584,89,193,9,4,18,677,196,0.75,3263,3018,85269,High,Both,"
System ID: SYS_0032
Type: Student Information System (SIS)
Institution: INST_28
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 3 years
- Code Base: 487584 lines of code
- Complexity Score: 89
Performance Metrics:
- Average Response Time: 677ms
- Peak Load: 3018 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Memory leaks under heavy load
- High response time during peak periods"
SYS_0033,INST_22,Small,1305,HR,5,914528,61,586,38,5,3,768,316,0.5,206,9392,63789,Low,GDPR,
SYS_0034,INST_14,Small,4171,Student Information,12,102871,33,830,5,18,3,508,84,0.7,2347,1650,94577,High,GDPR,"
System ID: SYS_0034
Type: Student Information System (SIS)
Institution: INST_14
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 12 years
- Code Base: 102871 lines of code
- Complexity Score: 33
Performance Metrics:
- Average Response Time: 508ms
- Peak Load: 1650 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- High response time during peak periods"
SYS_0035,INST_20,Small,1311,Research Management,11,610970,70,398,23,28,2,975,345,0.51,959,2551,57107,High,Both,
SYS_0036,INST_26,Small,1022,HR,10,451785,54,369,31,17,8,294,261,0.43,602,7248,91538,Low,Both,
SYS_0037,INST_20,Medium,12680,Research Management,9,180318,59,505,45,6,19,834,495,0.8,2736,2972,87645,Medium,FERPA,
SYS_0038,INST_16,Large,47693,Finance,6,186591,55,199,39,30,16,195,478,0.75,566,3310,88420,Medium,Both,
SYS_0039,INST_33,Small,1985,Student Information,5,763750,85,485,16,29,16,607,59,0.7,1836,7720,22566,Low,None,"
System ID: SYS_0039
Type: Student Information System (SIS)
Institution: INST_33
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 5 years
- Code Base: 763750 lines of code
- Complexity Score: 85
Performance Metrics:
- Average Response Time: 607ms
- Peak Load: 7720 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Memory leaks under heavy load
- Limited scalability"
SYS_0040,INST_37,Medium,8158,Student Information,8,157193,77,369,11,7,12,783,229,0.84,4510,2816,18173,Low,FERPA,"
System ID: SYS_0040
Type: Student Information System (SIS)
Institution: INST_37
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 8 years
- Code Base: 157193 lines of code
- Complexity Score: 77
Performance Metrics:
- Average Response Time: 783ms
- Peak Load: 2816 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- Data synchronization delays"
SYS_0041,INST_26,Small,4815,Student Information,4,225019,62,209,19,21,19,771,335,0.73,4754,2369,26422,Low,FERPA,"
System ID: SYS_0041
Type: Student Information System (SIS)
Institution: INST_26
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 4 years
- Code Base: 225019 lines of code
- Complexity Score: 62
Performance Metrics:
- Average Response Time: 771ms
- Peak Load: 2369 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Memory leaks under heavy load
- High response time during peak periods"
SYS_0042,INST_36,Large,35158,Research Management,4,580865,48,120,6,25,12,293,288,0.34,833,7885,63042,Low,Both,
SYS_0043,INST_31,Large,43506,Research Management,6,335156,39,879,49,16,3,822,196,0.48,1588,5039,94563,Low,Both,
SYS_0044,INST_19,Large,48752,Student Information,12,570734,35,573,14,19,11,193,301,0.8,9028,7144,41749,Low,None,"
System ID: SYS_0044
Type: Student Information System (SIS)
Institution: INST_19
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 12 years
- Code Base: 570734 lines of code
- Complexity Score: 35
Performance Metrics:
- Average Response Time: 193ms
- Peak Load: 7144 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Memory leaks under heavy load
- Limited scalability"
SYS_0045,INST_31,Large,15702,Student Information,6,649081,90,870,38,10,12,523,99,0.64,6712,6487,65525,Medium,FERPA,"
System ID: SYS_0045
Type: Student Information System (SIS)
Institution: INST_31
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 6 years
- Code Base: 649081 lines of code
- Complexity Score: 90
Performance Metrics:
- Average Response Time: 523ms
- Peak Load: 6487 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- High response time during peak periods
- Data synchronization delays"
SYS_0046,INST_16,Medium,8178,Finance,15,339016,53,710,13,30,2,182,81,0.42,962,3000,24063,Low,GDPR,
SYS_0047,INST_41,Small,2168,Learning Management,3,226933,68,714,14,10,11,711,208,0.87,1938,8183,53125,Medium,GDPR,"
System ID: SYS_0047
Type: Learning Management System (LMS)
Institution: INST_41
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 3 years
- Code Base: 226933 lines of code
- Complexity Score: 68
Performance Metrics:
- Average Response Time: 711ms
- Peak Load: 8183 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- High response time during peak periods"
SYS_0048,INST_30,Large,33746,Student Information,8,305284,49,269,17,24,20,880,341,0.34,7144,1727,36478,Low,GDPR,"
System ID: SYS_0048
Type: Student Information System (SIS)
Institution: INST_30
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 8 years
- Code Base: 305284 lines of code
- Complexity Score: 49
Performance Metrics:
- Average Response Time: 880ms
- Peak Load: 1727 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- Limited scalability"
SYS_0049,INST_13,Medium,8768,Research Management,7,506841,45,950,41,6,6,238,312,0.53,383,5271,43469,High,FERPA,
SYS_0050,INST_8,Large,17242,Finance,8,751983,63,521,33,16,13,980,277,0.67,1472,4834,87728,High,Both,
SYS_0051,INST_39,Small,3290,Finance,11,726510,69,266,34,13,11,268,227,0.46,1111,8431,64890,High,GDPR,
SYS_0052,INST_1,Small,3639,Student Information,3,521140,56,824,49,28,15,819,437,0.45,6959,6221,95958,High,Both,"
System ID: SYS_0052
Type: Student Information System (SIS)
Institution: INST_1
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 3 years
- Code Base: 521140 lines of code
- Complexity Score: 56
Performance Metrics:
- Average Response Time: 819ms
- Peak Load: 6221 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- High response time during peak periods
- Data synchronization delays"
SYS_0053,INST_50,Small,1287,HR,14,233169,48,761,24,11,12,743,323,0.43,432,8779,80666,Low,Both,
SYS_0054,INST_8,Large,24772,Research Management,14,418861,76,705,35,9,20,265,462,0.68,708,2238,25011,Medium,FERPA,
SYS_0055,INST_9,Large,34148,HR,14,678289,62,629,50,19,8,558,329,0.61,459,9333,36367,Low,None,
SYS_0056,INST_39,Large,36252,Finance,11,226683,52,377,49,9,6,980,220,0.32,1318,2531,23341,Medium,None,
SYS_0057,INST_20,Small,3724,Student Information,5,474755,53,156,17,19,10,482,150,0.42,9509,6237,63875,Low,Both,"
System ID: SYS_0057
Type: Student Information System (SIS)
Institution: INST_20
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 5 years
- Code Base: 474755 lines of code
- Complexity Score: 53
Performance Metrics:
- Average Response Time: 482ms
- Peak Load: 6237 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- Memory leaks under heavy load"
SYS_0058,INST_33,Small,2054,Research Management,15,444478,44,245,36,11,17,775,192,0.68,1219,3102,24690,Medium,None,
SYS_0059,INST_45,Medium,11166,Learning Management,9,865194,79,890,7,18,14,110,84,0.56,2485,3803,89652,High,Both,"
System ID: SYS_0059
Type: Learning Management System (LMS)
Institution: INST_45
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 9 years
- Code Base: 865194 lines of code
- Complexity Score: 79
Performance Metrics:
- Average Response Time: 110ms
- Peak Load: 3803 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- Limited scalability"
SYS_0060,INST_50,Small,1002,Finance,12,322525,60,297,48,28,20,320,117,0.78,1841,7368,75513,Medium,Both,
SYS_0061,INST_26,Large,28695,Learning Management,6,373435,64,114,49,15,8,399,79,0.69,2368,2056,30057,Low,GDPR,"
System ID: SYS_0061
Type: Learning Management System (LMS)
Institution: INST_26
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 6 years
- Code Base: 373435 lines of code
- Complexity Score: 64
Performance Metrics:
- Average Response Time: 399ms
- Peak Load: 2056 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- High response time during peak periods"
SYS_0062,INST_42,Large,16357,HR,10,122657,27,983,11,21,12,422,276,0.87,455,4792,63515,Medium,None,
SYS_0063,INST_27,Large,47915,Finance,8,70320,80,834,33,19,15,164,259,0.7,655,8273,82297,Medium,Both,
SYS_0064,INST_47,Small,1241,Student Information,14,226294,68,528,39,23,2,603,65,0.56,8036,6932,58809,Low,Both,"
System ID: SYS_0064
Type: Student Information System (SIS)
Institution: INST_47
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 14 years
- Code Base: 226294 lines of code
- Complexity Score: 68
Performance Metrics:
- Average Response Time: 603ms
- Peak Load: 6932 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- Data synchronization delays"
SYS_0065,INST_29,Medium,7705,Research Management,3,409591,41,285,16,23,6,570,412,0.45,1466,6083,18218,Medium,None,
SYS_0066,INST_8,Large,45577,Learning Management,11,429780,74,861,44,23,9,228,310,0.32,4783,8428,22778,High,GDPR,"
System ID: SYS_0066
Type: Learning Management System (LMS)
Institution: INST_8
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 11 years
- Code Base: 429780 lines of code
- Complexity Score: 74
Performance Metrics:
- Average Response Time: 228ms
- Peak Load: 8428 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Memory leaks under heavy load
- Integration bottlenecks"
SYS_0067,INST_25,Small,4912,Research Management,3,946088,82,971,37,23,15,913,450,0.41,1272,5346,71443,Low,GDPR,
SYS_0068,INST_14,Large,36826,Learning Management,13,281886,61,220,29,21,19,375,478,0.78,2415,2197,84670,High,Both,"
System ID: SYS_0068
Type: Learning Management System (LMS)
Institution: INST_14
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 13 years
- Code Base: 281886 lines of code
- Complexity Score: 61
Performance Metrics:
- Average Response Time: 375ms
- Peak Load: 2197 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- Integration bottlenecks"
SYS_0069,INST_47,Medium,6417,Learning Management,7,986543,22,273,9,28,12,108,168,0.74,2058,4500,49430,Medium,None,"
System ID: SYS_0069
Type: Learning Management System (LMS)
Institution: INST_47
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 7 years
- Code Base: 986543 lines of code
- Complexity Score: 22
Performance Metrics:
- Average Response Time: 108ms
- Peak Load: 4500 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- Integration bottlenecks"
SYS_0070,INST_38,Medium,9710,Finance,12,465949,77,132,6,7,5,360,470,0.43,350,3464,56379,Low,Both,
SYS_0071,INST_33,Medium,7164,Learning Management,9,682944,27,216,42,21,6,268,491,0.42,3243,7162,66864,Low,None,"
System ID: SYS_0071
Type: Learning Management System (LMS)
Institution: INST_33
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 9 years
- Code Base: 682944 lines of code
- Complexity Score: 27
Performance Metrics:
- Average Response Time: 268ms
- Peak Load: 7162 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Memory leaks under heavy load
- Integration bottlenecks"
SYS_0072,INST_23,Small,2119,Research Management,14,775041,57,475,17,28,10,256,498,0.67,1414,5728,70277,Low,None,
SYS_0073,INST_10,Small,4519,Finance,8,799672,76,323,34,28,7,873,254,0.73,553,6751,46315,Medium,Both,
SYS_0074,INST_8,Large,22071,Finance,3,728866,54,611,17,22,9,792,333,0.6,897,7287,63888,Low,FERPA,
SYS_0075,INST_39,Large,36668,Finance,7,769189,82,392,16,15,12,520,342,0.3,1190,2156,40486,Low,FERPA,
SYS_0076,INST_28,Large,44812,Research Management,15,896009,47,970,33,26,7,470,388,0.84,1431,2679,97823,High,None,
SYS_0077,INST_20,Medium,5681,HR,10,916874,36,609,31,20,17,275,497,0.69,388,4094,75370,Low,FERPA,
SYS_0078,INST_29,Medium,6897,Research Management,3,762689,83,638,12,18,5,269,284,0.76,2267,6886,65715,High,Both,
SYS_0079,INST_20,Medium,6875,Student Information,10,870090,64,620,5,25,2,938,212,0.76,3001,2329,92777,Medium,None,"
System ID: SYS_0079
Type: Student Information System (SIS)
Institution: INST_20
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 10 years
- Code Base: 870090 lines of code
- Complexity Score: 64
Performance Metrics:
- Average Response Time: 938ms
- Peak Load: 2329 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- Memory leaks under heavy load"
SYS_0080,INST_17,Small,4887,Student Information,8,844045,72,960,25,4,15,444,433,0.33,6633,2215,94290,Low,None,"
System ID: SYS_0080
Type: Student Information System (SIS)
Institution: INST_17
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 8 years
- Code Base: 844045 lines of code
- Complexity Score: 72
Performance Metrics:
- Average Response Time: 444ms
- Peak Load: 2215 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Data synchronization delays
- Memory leaks under heavy load"
SYS_0081,INST_26,Small,3929,Learning Management,14,535781,41,467,12,24,13,482,451,0.45,1854,2829,77988,High,Both,"
System ID: SYS_0081
Type: Learning Management System (LMS)
Institution: INST_26
Core Functions:
- Course content management
- Assignment handling
- Online assessments
Technical Specifications:
- System Age: 14 years
- Code Base: 535781 lines of code
- Complexity Score: 41
Performance Metrics:
- Average Response Time: 482ms
- Peak Load: 2829 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Integration bottlenecks
- Limited scalability"
SYS_0082,INST_22,Large,29141,HR,12,362473,51,375,39,8,8,874,162,0.72,877,2647,53021,Low,Both,
SYS_0083,INST_38,Medium,6372,Research Management,10,517913,59,643,28,24,18,979,86,0.8,1200,5909,60020,Low,FERPA,
SYS_0084,INST_1,Large,48994,HR,7,86112,55,229,38,28,15,436,321,0.68,865,5629,82807,Medium,GDPR,
SYS_0085,INST_44,Medium,7965,Research Management,4,348430,60,217,35,12,18,508,284,0.81,1641,2460,39213,Medium,Both,
SYS_0086,INST_15,Large,45107,Research Management,8,87251,50,753,19,11,11,197,261,0.47,1866,2947,34353,High,FERPA,
SYS_0087,INST_22,Small,1133,Student Information,14,610783,74,760,23,26,16,434,62,0.74,3667,2882,72923,Low,None,"
System ID: SYS_0087
Type: Student Information System (SIS)
Institution: INST_22
Core Functions:
- Student enrollment and registration
- Academic records management
- Grade processing
Technical Specifications:
- System Age: 14 years
- Code Base: 610783 lines of code
- Complexity Score: 74
Performance Metrics:
- Average Response Time: 434ms
- Peak Load: 2882 concurrent users
Integration Points:
- Banner Integration
- Canvas Integration
- Custom APIs
Known Issues:
- Limited scalability
- High response time during peak periods"
SYS_0088,INST_27,Large,38885,Research Management,12,528258,59,882,32,3,12,471,385,0.59,592,4053,30943,Medium,None,
